user_ID,subscription_type,monthly_revenue,join_date,last_payment_date,country,age,gender,device
112,Basic,10,1/6/2022,28-06-23,Canada,33,Female,Laptop
113,Standard,15,7/5/2022,26-06-23,United Kingdom,37,Male,Tablet
114,Premium,10,18-11-22,25-06-23,Australia,48,Male,Smartphone
115,Basic,11,5/4/2022,25-06-23,Germany,50,Female,Laptop
116,Premium,14,19-05-22,23-06-23,France,45,Female,Smart TV
117,Basic,15,30-10-21,23-06-23,Brazil,40,Female,Tablet
118,Standard,12,7/8/2022,27-06-23,Mexico,33,Male,Smartphone
119,Standard,11,20-09-22,25-06-23,Spain,44,Female,Smartphone
120,Basic,10,18-10-22,25-06-23,Italy,30,Female,Smart TV
121,Premium,15,3/10/2022,24-06-23,United States,27,Male,Smart TV
122,Basic,11,3/5/2022,28-06-23,Canada,51,Male,Smart TV
123,Standard,13,25-05-22,26-06-23,United Kingdom,49,Female,Smartphone
124,Premium,15,5/11/2022,25-06-23,Australia,43,Male,Laptop
125,Basic,12,21-08-22,24-06-23,Germany,42,Male,Smartphone
126,Premium,13,21-09-22,23-06-23,France,45,Male,Laptop
127,Basic,10,23-11-21,23-06-23,Brazil,36,Male,Smartphone
128,Standard,12,6/10/2022,27-06-23,Mexico,48,Male,Smartphone
129,Standard,13,5/11/2022,23-06-23,Spain,38,Male,Smart TV
130,Basic,14,7/1/2023,23-06-23,Italy,43,Female,Tablet
131,Premium,15,6/10/2022,23-06-23,United States,47,Male,Laptop
132,Basic,15,24-06-22,28-06-23,Canada,48,Female,Smart TV
133,Standard,13,24-06-22,26-06-23,United Kingdom,47,Male,Smart TV
134,Premium,15,5/11/2022,25-06-23,Australia,32,Male,Tablet
135,Basic,13,18-07-22,26-06-23,Germany,47,Female,Smart TV
136,Premium,12,13-09-22,26-06-23,France,41,Female,Smart TV
137,Basic,12,10/8/2022,22-06-23,Brazil,49,Male,Laptop
138,Standard,15,21-09-22,23-06-23,Mexico,28,Male,Laptop
139,Standard,13,24-03-23,23-06-23,Spain,40,Male,Smartphone
140,Basic,12,2/5/2022,23-06-23,Italy,43,Female,Smartphone
141,Premium,12,11/5/2022,27-06-23,United States,42,Male,Smartphone
142,Basic,14,10/6/2022,22-06-23,Canada,28,Male,Smart TV
143,Standard,14,31-08-22,24-06-23,United Kingdom,30,Female,Tablet
144,Premium,10,17-08-22,26-06-23,Australia,33,Male,Smart TV
145,Basic,11,5/5/2022,26-06-23,Germany,35,Female,Laptop
146,Basic,10,6/10/2022,25-06-23,France,38,Male,Tablet
147,Basic,12,8/11/2022,24-06-23,Brazil,49,Female,Laptop
148,Standard,15,27-11-22,28-06-23,Mexico,39,Female,Smartphone
149,Premium,13,17-11-22,27-06-23,Spain,46,Female,Smart TV
150,Basic,10,15-12-22,23-06-23,Italy,47,Female,Laptop
151,Basic,15,12/12/2022,25-06-23,United States,30,Female,Laptop
152,Premium,14,23-11-22,27-06-23,Canada,33,Female,Tablet
153,Standard,11,25-12-22,24-06-23,United Kingdom,47,Male,Smartphone
154,Standard,11,11/3/2023,27-06-23,Australia,27,Male,Laptop
155,Basic,14,18-11-22,27-06-23,Germany,28,Male,Tablet
156,Premium,15,19-08-22,25-06-23,France,47,Male,Smartphone
157,Standard,14,27-09-22,24-06-23,Brazil,30,Male,Laptop
158,Basic,13,19-10-22,28-06-23,Mexico,47,Female,Smartphone
159,Standard,10,21-12-22,26-06-23,Spain,51,Female,Smart TV
160,Premium,15,27-10-22,25-06-23,Italy,39,Male,Smartphone
161,Basic,10,23-10-22,24-06-23,United States,45,Male,Tablet
162,Premium,15,19-04-22,25-06-23,Canada,31,Male,Laptop
163,Standard,11,5/4/2022,26-06-23,United Kingdom,29,Male,Laptop
164,Basic,11,11/3/2022,26-06-23,Australia,42,Female,Tablet
165,Standard,14,25-05-22,25-06-23,Germany,49,Male,Tablet
166,Premium,13,16-04-22,26-06-23,France,42,Male,Laptop
167,Basic,13,7/4/2022,24-06-23,Brazil,29,Male,Smartphone
168,Standard,10,11/12/2022,28-06-23,Mexico,29,Male,Tablet
169,Premium,12,20-01-23,26-06-23,Spain,49,Male,Tablet
170,Basic,14,12/1/2023,25-06-23,Italy,32,Male,Laptop
171,Premium,11,29-04-22,24-06-23,United States,35,Female,Tablet
172,Basic,12,27-04-22,26-06-23,Canada,39,Female,Smartphone
173,Standard,15,3/6/2022,25-06-23,United Kingdom,40,Male,Smartphone
174,Standard,14,23-04-22,25-06-23,Australia,39,Female,Tablet
175,Basic,10,22-04-22,26-06-23,Germany,47,Female,Laptop
176,Premium,13,12/4/2022,25-06-23,France,37,Female,Smart TV
177,Basic,15,23-05-22,26-06-23,Brazil,27,Female,Smartphone
178,Standard,13,19-10-22,26-06-23,Mexico,49,Female,Laptop
179,Premium,10,3/12/2022,26-06-23,Spain,30,Female,Tablet
180,Basic,14,26-09-22,25-06-23,Italy,36,Male,Laptop
181,Premium,15,16-06-22,27-06-23,United States,33,Male,Smartphone
182,Basic,13,16-05-22,25-06-23,Canada,30,Female,Laptop
183,Standard,15,26-05-22,26-06-23,United Kingdom,36,Female,Tablet
184,Standard,13,26-04-22,25-06-23,Australia,28,Female,Laptop
185,Basic,11,12/5/2022,25-06-23,Germany,47,Female,Tablet
186,Premium,12,1/3/2022,25-06-23,France,33,Female,Smart TV
187,Basic,13,10/7/2022,24-06-23,Brazil,49,Female,Laptop
188,Standard,15,16-07-22,27-06-23,Mexico,44,Female,Smart TV
189,Premium,13,2/9/2022,26-06-23,Spain,47,Male,Smart TV
190,Basic,11,18-09-22,26-06-23,Italy,37,Female,Tablet
191,Premium,10,8/7/2022,25-06-23,United States,46,Male,Laptop
192,Basic,14,26-06-22,27-06-23,Canada,50,Female,Smartphone
193,Standard,11,5/8/2022,25-06-23,United Kingdom,50,Male,Laptop
194,Standard,14,19-08-22,27-06-23,Australia,37,Male,Laptop
195,Basic,11,26-08-22,24-06-23,Germany,50,Female,Smartphone
196,Premium,13,9/6/2022,24-06-23,France,45,Female,Smart TV
197,Basic,14,27-09-22,23-06-23,Brazil,45,Male,Tablet
198,Standard,10,18-10-22,27-06-23,Mexico,49,Female,Laptop
199,Premium,14,31-10-22,25-06-23,Spain,39,Female,Tablet
200,Basic,11,13-10-22,25-06-23,Italy,45,Female,Tablet
201,Premium,11,4/7/2022,27-06-23,United States,49,Female,Smart TV
202,Basic,12,26-06-22,27-06-23,Canada,31,Female,Tablet
203,Standard,13,31-07-22,24-06-23,United Kingdom,42,Female,Smart TV
204,Standard,12,27-07-22,24-06-23,Australia,37,Male,Smartphone
205,Basic,12,30-07-22,25-06-23,Germany,30,Male,Smart TV
206,Premium,11,6/8/2022,25-06-23,France,40,Male,Smartphone
207,Basic,15,16-09-22,24-06-23,Brazil,45,Female,Smartphone
208,Standard,15,5/1/2023,23-06-23,Mexico,36,Female,Tablet
209,Premium,11,10/12/2022,24-06-23,Spain,41,Male,Laptop
210,Basic,14,22-11-22,26-06-23,Italy,49,Female,Laptop
211,Premium,15,15-11-22,27-06-23,United States,40,Male,Tablet
212,Basic,11,28-10-22,26-06-23,Canada,36,Male,Smart TV
213,Standard,12,8/9/2022,24-06-23,United Kingdom,49,Female,Smart TV
214,Standard,13,30-06-22,28-06-23,Australia,43,Female,Laptop
215,Basic,13,2/9/2022,27-06-23,Germany,50,Female,Smartphone
216,Premium,14,8/10/2022,24-06-23,France,51,Female,Smart TV
217,Basic,15,13-11-22,25-06-23,Brazil,44,Male,Smart TV
218,Standard,12,15-11-22,28-06-23,Mexico,27,Male,Tablet
219,Premium,12,16-11-22,25-06-23,Spain,46,Female,Smartphone
220,Basic,12,26-11-22,27-06-23,Italy,29,Male,Tablet
221,Basic,12,26-11-22,25-06-23,United States,47,Male,Smartphone
222,Basic,10,12/12/2022,26-06-23,Canada,48,Female,Smartphone
223,Standard,12,8/1/2023,25-06-23,United Kingdom,34,Female,Smartphone
224,Premium,15,27-11-22,29-06-23,Australia,40,Female,Smartphone
225,Basic,14,11/10/2022,27-06-23,Germany,48,Female,Smartphone
226,Basic,10,27-09-22,26-06-23,France,35,Male,Smartphone
227,Premium,12,30-09-22,24-06-23,Brazil,51,Female,Smartphone
228,Standard,10,4/11/2022,27-06-23,Mexico,39,Male,Smart TV
229,Standard,13,4/11/2022,27-06-23,Spain,29,Male,Smartphone
230,Basic,12,30-10-22,26-06-23,Italy,51,Male,Laptop
231,Premium,11,29-10-22,24-06-23,United States,43,Male,Smartphone
232,Standard,11,30-08-22,27-06-23,Canada,28,Male,Smartphone
233,Basic,15,7/7/2022,26-06-23,United Kingdom,50,Female,Smart TV
234,Standard,14,26-05-22,27-06-23,Australia,44,Female,Laptop
235,Premium,11,17-05-22,25-06-23,Germany,50,Male,Laptop
236,Basic,11,8/5/2022,26-06-23,France,39,Female,Smartphone
237,Premium,13,7/7/2022,25-06-23,Brazil,46,Female,Tablet
238,Standard,15,17-07-22,28-06-23,Mexico,48,Male,Smartphone
239,Basic,15,23-12-22,26-06-23,Spain,38,Male,Smart TV
240,Standard,13,27-06-22,26-06-23,Italy,38,Male,Smartphone
241,Premium,13,31-05-22,27-06-23,United States,47,Male,Laptop
242,Basic,12,2/6/2022,26-06-23,Canada,37,Male,Laptop
243,Standard,11,25-05-22,27-06-23,United Kingdom,33,Male,Laptop
244,Premium,15,26-04-22,26-06-23,Australia,28,Male,Smartphone
245,Basic,13,20-04-22,26-06-23,Germany,47,Male,Smart TV
246,Premium,11,3/5/2022,25-06-23,France,38,Female,Smartphone
247,Basic,12,7/7/2022,27-06-23,Brazil,27,Male,Smart TV
248,Standard,13,15-09-22,26-06-23,Mexico,34,Male,Smartphone
249,Standard,14,16-09-22,27-06-23,Spain,42,Female,Smartphone
250,Basic,14,9/8/2022,26-06-23,Italy,28,Male,Laptop
251,Premium,15,25-06-22,27-06-23,United States,30,Male,Laptop
252,Basic,11,30-05-22,26-06-23,Canada,38,Female,Smartphone
253,Standard,15,21-05-22,25-06-23,United Kingdom,45,Female,Tablet
254,Premium,12,20-05-22,27-06-23,Australia,48,Female,Smart TV
255,Basic,13,20-05-22,26-06-23,Germany,46,Female,Smart TV
256,Premium,12,30-05-22,26-06-23,France,34,Male,Tablet
257,Basic,13,17-06-22,25-06-23,Brazil,46,Male,Laptop
258,Standard,11,16-07-22,28-06-23,Mexico,41,Female,Smartphone
259,Standard,15,5/8/2022,26-06-23,Spain,28,Male,Smartphone
260,Basic,10,17-07-22,26-06-23,Italy,27,Female,Smartphone
261,Premium,13,4/7/2022,25-06-23,United States,27,Female,Smart TV
262,Basic,12,13-07-22,26-06-23,Canada,28,Female,Tablet
263,Standard,15,25-07-22,24-06-23,United Kingdom,46,Male,Smartphone
264,Premium,10,9/8/2022,27-06-23,Australia,51,Male,Smartphone
265,Basic,11,5/8/2022,25-06-23,Germany,32,Female,Smart TV
266,Premium,10,17-08-22,26-06-23,France,44,Male,Tablet
267,Basic,11,8/9/2022,27-06-23,Brazil,44,Female,Laptop
268,Standard,13,16-10-22,28-06-23,Mexico,34,Female,Smart TV
269,Standard,13,15-10-22,25-06-23,Spain,29,Female,Laptop
270,Basic,12,4/9/2022,25-06-23,Italy,47,Male,Smart TV
271,Premium,14,20-08-22,26-06-23,United States,41,Male,Laptop
272,Basic,10,10/8/2022,26-06-23,Canada,36,Female,Smartphone
273,Standard,12,2/8/2022,25-06-23,United Kingdom,28,Female,Laptop
274,Premium,10,1/8/2022,24-06-23,Australia,27,Female,Tablet
275,Basic,15,6/8/2022,25-06-23,Germany,34,Female,Laptop
276,Premium,14,9/8/2022,25-06-23,France,34,Female,Smart TV
277,Basic,13,12/9/2022,26-06-23,Brazil,37,Female,Tablet
278,Standard,14,27-09-22,26-06-23,Mexico,34,Female,Laptop
279,Standard,15,12/11/2022,24-06-23,Spain,50,Female,Laptop
280,Basic,12,13-11-22,27-06-23,Italy,34,Female,Laptop
281,Premium,12,2/11/2022,28-06-23,United States,33,Female,Smart TV
282,Basic,11,30-10-22,25-06-23,Canada,33,Male,Smart TV
283,Standard,15,30-06-22,26-06-23,United Kingdom,46,Male,Smartphone
284,Premium,14,4/8/2022,28-06-23,Australia,39,Female,Smartphone
285,Basic,10,1/9/2022,27-06-23,Germany,42,Female,Laptop
286,Premium,14,14-10-22,27-06-23,France,50,Female,Laptop
287,Basic,10,16-10-22,26-06-23,Brazil,43,Male,Smartphone
288,Standard,14,20-10-22,28-06-23,Mexico,51,Male,Smart TV
289,Standard,15,20-11-22,25-06-23,Spain,34,Female,Smart TV
290,Basic,12,25-11-22,30-06-23,Italy,48,Male,Smartphone
291,Premium,13,4/12/2022,27-06-23,United States,29,Female,Tablet
292,Basic,11,12/12/2022,27-06-23,Canada,43,Female,Laptop
293,Standard,14,9/12/2022,25-06-23,United Kingdom,39,Female,Laptop
294,Premium,10,15-10-22,29-06-23,Australia,50,Male,Laptop
295,Basic,14,3/10/2022,27-06-23,Germany,45,Male,Laptop
296,Basic,12,1/10/2022,27-06-23,France,48,Female,Tablet
297,Basic,13,2/11/2022,24-06-23,Brazil,40,Male,Smartphone
298,Standard,14,3/11/2022,27-06-23,Mexico,41,Male,Tablet
299,Premium,10,30-10-22,27-06-23,Spain,27,Male,Smartphone
300,Basic,11,30-10-22,28-06-23,Italy,36,Male,Laptop
301,Basic,10,27-09-22,24-06-23,United States,36,Female,Laptop
302,Premium,11,14-09-22,27-06-23,Canada,44,Male,Tablet
303,Standard,12,11/6/2022,26-06-23,United Kingdom,45,Male,Tablet
304,Standard,12,11/6/2022,29-06-23,Australia,33,Female,Smartphone
305,Basic,13,24-05-22,26-06-23,Germany,47,Male,Smart TV
306,Premium,13,6/7/2022,27-06-23,France,45,Male,Tablet
307,Standard,11,8/7/2022,28-06-23,Brazil,29,Female,Smart TV
308,Basic,13,27-10-22,27-06-23,Mexico,31,Male,Smart TV
309,Standard,11,9/8/2022,28-06-23,Spain,31,Male,Smartphone
310,Premium,15,14-06-22,26-06-23,Italy,49,Female,Smartphone
311,Basic,15,7/6/2022,27-06-23,United States,29,Female,Smartphone
312,Premium,12,27-05-22,26-06-23,Canada,50,Male,Laptop
313,Standard,13,27-05-22,27-06-23,United Kingdom,36,Female,Laptop
314,Basic,10,21-04-22,26-06-23,Australia,28,Male,Laptop
315,Standard,15,28-04-22,27-06-23,Germany,47,Female,Smart TV
316,Premium,12,27-05-22,25-06-23,France,50,Female,Laptop
317,Basic,15,25-08-22,28-06-23,Brazil,44,Female,Tablet
318,Standard,10,2/9/2022,27-06-23,Mexico,39,Female,Laptop
319,Premium,14,22-08-22,26-06-23,Spain,32,Female,Smartphone
320,Basic,15,2/8/2022,27-06-23,Italy,30,Female,Laptop
321,Premium,12,22-06-22,27-06-23,United States,33,Female,Smartphone
322,Basic,15,4/6/2022,27-06-23,Canada,44,Male,Smartphone
323,Standard,14,31-05-22,26-06-23,United Kingdom,40,Male,Smartphone
324,Standard,15,22-05-22,27-06-23,Australia,32,Male,Tablet
325,Basic,13,29-05-22,27-06-23,Germany,32,Male,Tablet
326,Premium,11,11/6/2022,27-06-23,France,30,Male,Smartphone
327,Basic,12,6/7/2022,26-06-23,Brazil,32,Female,Smartphone
328,Standard,12,26-07-22,27-06-23,Mexico,45,Female,Tablet
329,Premium,11,22-07-22,25-06-23,Spain,35,Female,Smart TV
330,Basic,10,6/7/2022,26-06-23,Italy,40,Female,Smart TV
331,Premium,14,8/7/2022,26-06-23,United States,29,Female,Tablet
332,Basic,14,22-07-22,26-06-23,Canada,31,Male,Tablet
333,Standard,15,24-07-22,27-06-23,United Kingdom,43,Female,Smart TV
334,Standard,11,28-07-22,28-06-23,Australia,34,Male,Smart TV
335,Basic,10,11/8/2022,25-06-23,Germany,47,Female,Tablet
336,Premium,12,2/9/2022,26-06-23,France,35,Male,Laptop
337,Basic,13,11/10/2022,27-06-23,Brazil,36,Male,Laptop
338,Standard,12,15-10-22,27-06-23,Mexico,33,Male,Tablet
339,Premium,13,5/10/2022,25-06-23,Spain,30,Female,Laptop
340,Basic,14,13-09-22,25-06-23,Italy,44,Female,Smartphone
341,Premium,13,24-08-22,26-06-23,United States,44,Female,Laptop
342,Basic,11,9/8/2022,26-06-23,Canada,41,Female,Laptop
343,Standard,13,6/8/2022,25-06-23,United Kingdom,46,Male,Smart TV
344,Standard,13,7/8/2022,26-06-23,Australia,42,Female,Smartphone
345,Basic,10,8/8/2022,25-06-23,Germany,48,Female,Smart TV
346,Premium,15,31-08-22,26-06-23,France,37,Male,Tablet
347,Basic,14,21-09-22,28-06-23,Brazil,29,Male,Smartphone
348,Standard,14,5/10/2022,26-06-23,Mexico,30,Male,Smart TV
349,Premium,14,2/11/2022,26-06-23,Spain,28,Male,Smartphone
350,Basic,10,2/11/2022,28-06-23,Italy,44,Female,Smartphone
351,Premium,11,2/11/2022,28-06-23,United States,34,Female,Smart TV
352,Basic,10,20-09-22,26-06-23,Canada,38,Male,Laptop
353,Standard,14,10/8/2022,26-06-23,United Kingdom,34,Female,Smartphone
354,Standard,10,16-08-22,28-06-23,Australia,40,Female,Laptop
355,Basic,15,12/10/2022,27-06-23,Germany,32,Female,Tablet
356,Premium,11,14-10-22,30-06-23,France,38,Male,Smart TV
357,Basic,15,18-10-22,26-06-23,Brazil,39,Male,Smartphone
358,Standard,12,11/11/2022,28-06-23,Mexico,34,Female,Smart TV
359,Premium,11,20-11-22,26-06-23,Spain,41,Male,Smartphone
360,Basic,15,21-11-22,30-06-23,Italy,43,Female,Tablet
361,Premium,12,25-11-22,28-06-23,United States,36,Female,Laptop
362,Basic,11,8/12/2022,27-06-23,Canada,31,Male,Laptop
363,Standard,12,1/11/2022,25-06-23,United Kingdom,47,Female,Smart TV
364,Standard,14,12/10/2022,29-06-23,Australia,48,Male,Smart TV
365,Basic,11,13-10-22,27-06-23,Germany,36,Male,Laptop
366,Premium,12,17-10-22,29-06-23,France,41,Male,Smart TV
367,Basic,13,23-10-22,25-06-23,Brazil,32,Male,Laptop
368,Standard,13,24-10-22,28-06-23,Mexico,28,Male,Smartphone
369,Premium,12,25-10-22,27-06-23,Spain,46,Female,Smartphone
370,Basic,11,22-10-22,29-06-23,Italy,46,Female,Smartphone
371,Basic,11,30-09-22,25-06-23,United States,47,Male,Tablet
372,Basic,11,6/9/2022,27-06-23,Canada,31,Female,Tablet
373,Standard,10,18-06-22,26-06-23,United Kingdom,44,Female,Tablet
374,Premium,10,12/6/2022,28-06-23,Australia,39,Female,Laptop
375,Basic,14,17-06-22,28-06-23,Germany,44,Female,Laptop
376,Basic,12,20-06-22,27-06-23,France,39,Female,Smartphone
377,Premium,12,27-08-22,28-06-23,Brazil,37,Male,Laptop
378,Standard,14,13-08-22,27-06-23,Mexico,47,Female,Laptop
379,Standard,10,12/8/2022,28-06-23,Spain,46,Female,Smart TV
380,Basic,15,5/8/2022,27-06-23,Italy,27,Female,Smart TV
381,Premium,10,14-07-22,27-06-23,United States,43,Female,Laptop
382,Standard,10,7/6/2022,26-06-23,Canada,51,Male,Smart TV
383,Basic,10,1/6/2022,27-06-23,United Kingdom,49,Male,Smart TV
384,Standard,10,19-05-22,28-06-23,Australia,35,Female,Smartphone
385,Premium,15,22-05-22,27-06-23,Germany,44,Male,Smartphone
386,Basic,14,11/7/2022,26-06-23,France,48,Male,Tablet
387,Premium,11,19-07-22,28-06-23,Brazil,39,Female,Tablet
388,Standard,12,21-07-22,28-06-23,Mexico,38,Male,Laptop
389,Basic,14,2/8/2022,26-06-23,Spain,45,Male,Smart TV
390,Standard,13,3/7/2022,28-06-23,Italy,43,Female,Laptop
391,Premium,13,23-06-22,27-06-23,United States,42,Male,Laptop
392,Basic,15,3/6/2022,28-06-23,Canada,28,Male,Smart TV
393,Standard,10,3/6/2022,26-06-23,United Kingdom,40,Male,Tablet
394,Premium,14,30-05-22,27-06-23,Australia,41,Female,Tablet
395,Basic,12,5/6/2022,26-06-23,Germany,45,Female,Laptop
396,Premium,14,10/6/2022,27-06-23,France,30,Female,Smartphone
